url,phone_numbers,facebook_links,twitter_x_links,linkedin_links,instagram_links,youtube_links,addresses,error,processing_notes
http://gsbphoto.com,,,,,,,,,"Discovered potential contact page: http://gsbphoto.com/contact; Attempting to merge data from: http://gsbphoto.com/contact; Source page http://gsbphoto.com/contact had error: Fetch ClientError for http://gsbphoto.com/contact: ClientResponseError - 404, message='Not Found', url='http://gsbphoto.com/contact'; Merge from http://gsbphoto.com/contact complete."
http://pinehavenresort.com,,https://www.facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056; https://www.facebook.com/HackCFC; https://www.facebook.com/bearpausetheater; https://www.facebook.com/login; https://www.facebook.com/NorLightsCasino,,,,,,,Discovered potential contact page: https://pinehavenresort.com/contact; Attempting to merge data from: https://pinehavenresort.com/contact; Merge from https://pinehavenresort.com/contact complete.
http://cavachonsofoklahoma.com,,,,,,,,,Discovered potential contact page: http://cavachonsofoklahoma.com/contact; Attempting to merge data from: http://cavachonsofoklahoma.com/contact; Merge from http://cavachonsofoklahoma.com/contact complete.
http://fuecid.shop,,,,,,,,Fetch ClientError for http://fuecid.shop: ClientConnectorDNSError - Cannot connect to host fuecid.shop:80 ssl:default [getaddrinfo failed],
http://janellesrestaurant.com,,,,,,,,Fetch ClientError for http://janellesrestaurant.com: ClientConnectorDNSError - Cannot connect to host janellesrestaurant.com:80 ssl:default [getaddrinfo failed],
http://peacefulwolftaichi.com,,,,,,,,,Discovered potential contact page: http://peacefulwolftaichi.com/contact; Attempting to merge data from: http://peacefulwolftaichi.com/contact; Merge from http://peacefulwolftaichi.com/contact complete.
http://uomosport.com,3102050407,https://www.facebook.com/UOMOSPORT2016,https://twitter.com/uomo_sport,https://www.linkedin.com/company/uomo-sport,https://www.instagram.com/uomo_sport,,,,Discovered potential contact page: http://uomosport.com/pages/contact-us; Attempting to merge data from: http://uomosport.com/pages/contact-us; Merge from http://uomosport.com/pages/contact-us complete.
http://warnby.com,,,,,,,,Fetch ClientError for http://warnby.com: ClientConnectorDNSError - Cannot connect to host warnby.com:80 ssl:default [getaddrinfo failed],
http://antiochassistedliving.com,,,,,,,,,Discovered potential contact page: http://antiochassistedliving.com/contact; Attempting to merge data from: http://antiochassistedliving.com/contact; Merge from http://antiochassistedliving.com/contact complete.
http://davidprieto.realestate,+8184223831; 8184223831; 91316422,https://www.facebook.com/DPREServices,https://twitter.com/share,https://www.linkedin.com/in/david-prieto-0a908330,,,"18750 Keswick Street; 17404 Ventura Blvd. Unit 110, Encino, CA 91316",,Discovered potential contact page: http://davidprieto.realestate/contact; Attempting to merge data from: http://davidprieto.realestate/contact; Merge from http://davidprieto.realestate/contact complete.
http://gygeneralservices.business.site,,,,,,,,"Fetch ClientError for http://gygeneralservices.business.site: ClientResponseError - 404, message='Not Found', url='http://gygeneralservices.business.site'",
http://kickitupquilting.com,,https://www.facebook.com/KickItUpQuilting,,,https://www.instagram.com/kickitupquilting,,,,Discovered potential contact page: http://kickitupquilting.com/contact; Attempting to merge data from: http://kickitupquilting.com/contact; Merge from http://kickitupquilting.com/contact complete.
http://koimountain.com,,,,,,,,"Skipping non-HTML http://koimountain.com (final URL: http://xml-v4.stevbade1.online/click?i=qeae3I4A8cM_0, type: )",
http://pinolevistareimagined.com,,,,,,,,,"Discovered potential contact page: http://pinolevistareimagined.com/contact; Attempting to merge data from: http://pinolevistareimagined.com/contact; Source page http://pinolevistareimagined.com/contact had error: Fetch ClientError for http://pinolevistareimagined.com/contact: ClientResponseError - 404, message='Not Found', url='http://pinolevistareimagined.com/contact'; Merge from http://pinolevistareimagined.com/contact complete."
http://seamuspuppy.com,1877404; 18774044149; 1877209; 18772095184,https://www.facebook.com/AITWebHosting,https://twitter.com/AITWebHosting,https://www.linkedin.com/company/ait,https://www.instagram.com/ait.agency; https://www.instagram.com/aitwebhosting,https://www.youtube.com/user/aithosting,,,Discovered potential contact page: http://seamuspuppy.com/contact; Attempting to merge data from: http://seamuspuppy.com/contact; Merge from http://seamuspuppy.com/contact complete.
http://aop3d.com,,https://www.facebook.com/AOPthreeD,,,https://www.instagram.com/aop3d,,,,Discovered potential contact page: http://aop3d.com/pages/about-us; Attempting to merge data from: http://aop3d.com/pages/about-us; Merge from http://aop3d.com/pages/about-us complete.
http://off-trail.co,,,,,https://www.instagram.com/offtrail.co,,,,Discovered potential contact page: http://off-trail.co/about; Attempting to merge data from: http://off-trail.co/about; Merge from http://off-trail.co/about complete.
http://proexecstaffing.com,7132482245,https://www.facebook.com/proexecstaffing,https://twitter.com/exec_pro,https://www.linkedin.com/company/pro-exec-staffing,,,,,Discovered potential contact page: http://proexecstaffing.com/about-us; Attempting to merge data from: http://proexecstaffing.com/about-us; Merge from http://proexecstaffing.com/about-us complete.
http://stewartgrain.com,,,,,,,,,Discovered potential contact page: http://stewartgrain.com/pages/contact.php; Attempting to merge data from: http://stewartgrain.com/pages/contact.php; Merge from http://stewartgrain.com/pages/contact.php complete.
http://truyasushica.com,4082444534,,,,,,,,"Discovered potential contact page: http://truyasushica.com/contact; Attempting to merge data from: http://truyasushica.com/contact; Source page http://truyasushica.com/contact had error: Fetch ClientError for http://truyasushica.com/contact: ClientResponseError - 404, message='Not Found', url='https://www.truyasushica.com/404'; Merge from http://truyasushica.com/contact complete."
http://yingtexun.com,,,,,,,,Fetch Timeout for http://yingtexun.com,
http://camilluscusecamp.com,,,,,,,,,Discovered potential contact page: http://camilluscusecamp.com/contact; Attempting to merge data from: http://camilluscusecamp.com/contact; Merge from http://camilluscusecamp.com/contact complete.
http://hyhp.org,,https://www.facebook.com/hawaiiyhp,,https://www.linkedin.com/company/hyhp; https://www.linkedin.com/company/30611146,https://www.instagram.com/hawaiiyhp,,,,Discovered potential contact page: https://hyhp.org/Contact; Attempting to merge data from: https://hyhp.org/Contact; Merge from https://hyhp.org/Contact complete.
http://rrrobotictec.com,,,,,,,,Fetch ClientError for http://rrrobotictec.com: ClientConnectorDNSError - Cannot connect to host rrrobotictec.com:80 ssl:default [getaddrinfo failed],
http://thebeautyteam.com,9089175233,https://www.facebook.com/The-Beauty-Team-NJ-1524388267839855,,https://www.linkedin.com/in/daniela-brozkova-3b084b9,https://www.instagram.com/thebeautyteamnj,,,,Discovered potential contact page: https://thebeautyteam.com/about-us; Attempting to merge data from: https://thebeautyteam.com/about-us; Merge from https://thebeautyteam.com/about-us complete.
http://justgooglebenhiggins.com,,,,,,,,,"Discovered potential contact page: http://justgooglebenhiggins.com/contact; Attempting to merge data from: http://justgooglebenhiggins.com/contact; Source page http://justgooglebenhiggins.com/contact had error: Fetch ClientError for http://justgooglebenhiggins.com/contact: ClientResponseError - 404, message='Not Found', url='https://www.justgooglebenhiggins.com/contact'; Merge from http://justgooglebenhiggins.com/contact complete."
http://onsa.net,,,,,,,"1270 Chemeketa Street N.E., Salem, OR 97301; 1270 Chemeketa Street N.E.",,Discovered potential contact page: https://onsa.net/contact; Attempting to merge data from: https://onsa.net/contact; Merge from https://onsa.net/contact complete.
http://stitchncluck.com,,,,,,,,,"Discovered potential contact page: http://stitchncluck.com/contact; Attempting to merge data from: http://stitchncluck.com/contact; Source page http://stitchncluck.com/contact had error: Fetch ClientError for http://stitchncluck.com/contact: ClientResponseError - 404, message='Not Found', url='https://stitchncluck.com/contact'; Merge from http://stitchncluck.com/contact complete."
http://ascend-tech.us,,,,,,,,"Fetch ClientError for http://ascend-tech.us: ClientResponseError - 429, message='Too Many Requests', url='https://www.ascend-tech.us/'",
http://buryservices.com,,,,,,,,,Discovered potential contact page: http://buryservices.com/contact; Attempting to merge data from: http://buryservices.com/contact; Merge from http://buryservices.com/contact complete.
http://cleaningsvccolumbiafalls.com,,,,,,,,Fetch ClientError for http://cleaningsvccolumbiafalls.com: ClientConnectorDNSError - Cannot connect to host cleaningsvccolumbiafalls.com:80 ssl:default [getaddrinfo failed],
http://fortlaudedalepsychic.com,,,,,,,,Fetch ClientError for http://fortlaudedalepsychic.com: ClientConnectorDNSError - Cannot connect to host fortlaudedalepsychic.com:80 ssl:default [getaddrinfo failed],
http://longrealty.com,,,,,,,,"Fetch ClientError for http://longrealty.com: ClientResponseError - 403, message='Forbidden', url='https://longrealty.com/'",
http://miltongeorgialiving.com,,,,,,,,,"Discovered potential contact page: http://miltongeorgialiving.com/contact; Attempting to merge data from: http://miltongeorgialiving.com/contact; Source page http://miltongeorgialiving.com/contact had error: Fetch ClientError for http://miltongeorgialiving.com/contact: ClientResponseError - 404, message='Not Found', url='https://www.miltongeorgialiving.com/contact'; Merge from http://miltongeorgialiving.com/contact complete."
