url,phone_numbers,social_media_links,addresses,error
http://candybartending.com,,"{'facebook': ['https://www.facebook.com/Candythebartender'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/candybar_bartender'], 'youtube': []}",,
http://kelleyroadrace.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://marrs-jonesfuneralhome.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,403 Client Error: Forbidden for url: https://www.marrs-jonesfuneralhome.com/
http://motherssoontobe.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='motherssoontobe.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087BD0>: Failed to resolve 'motherssoontobe.com' ([Errno 11001] getaddrinfo failed)""))"
http://palla-siding-and-windows.business.site,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,404 Client Error: Not Found for url: http://palla-siding-and-windows.business.site/
http://propertyguysnj.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='propertyguysnj.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087790>: Failed to resolve 'propertyguysnj.com' ([Errno 11002] getaddrinfo failed)""))"
http://rcgglobaltv.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='rcgglobaltv.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087DF0>: Failed to resolve 'rcgglobaltv.com' ([Errno 11001] getaddrinfo failed)""))"
http://rlosrivera.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://starcomconsulting.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='starcomconsulting.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087CE0>: Failed to resolve 'starcomconsulting.com' ([Errno 11001] getaddrinfo failed)""))"
http://torget.org,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://cancersupportdelaware.org,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,403 Client Error: Forbidden for url: https://cancersupportdelaware.org/
http://cryptohomiesclub.io,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,Response ended prematurely
http://jessicaashwellness.com,,"{'facebook': ['https://www.facebook.com/jessicaashwellness'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/jessicaashwellness'], 'youtube': ['https://www.youtube.com/c/JessicaAshWellness1', 'https://www.youtube.com/user/playlist']}",,
http://pctouchservices.com,,"{'facebook': ['https://www.facebook.com/home.php'], 'twitter': ['https://www.twitter.com/mayisad'], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://sharonkinghoge.com,,"{'facebook': [], 'twitter': ['https://www.twitter.com/SharonKingHoge'], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://steppir.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
