url,phone_numbers,facebook_links,twitter_x_links,linkedin_links,instagram_links,youtube_links,addresses,error
http://longrealty.com,,,,,,,,403 Client Error: Forbidden for url: https://longrealty.com/
http://miltongeorgialiving.com,,,,,,,,
http://smensclub.org,15143741,https://www.facebook.com/smensclub,,,,,625 Blackburn Road,
http://woodgateapts.net,8442017843,https://www.facebook.com/pg,https://twitter.com/intent,,https://www.instagram.com/woodgate.jordan.landing,,,
http://crawfordproduction.com,,,,,,,,
http://fanbladedesigns.com,,,,,,,,403 Client Error: Forbidden for url: https://fanbladedesigns.com/
http://ghostmountain.org,,,,,https://www.instagram.com/ghostmountainpdx,,,
http://lequedagua.com,,https://www.facebook.com/lequedagua.lda,,,https://www.instagram.com/lequedagua,,,
http://lisinoprilfst.com,,,,,,,,404 Client Error: Not Found for url: https://lisinoprilfst.com/
http://nbwatergardens.com,65340229,,,,,,,
http://semillacenter.org,,https://www.facebook.com/SemillaCenter,https://twitter.com/semillacenter,,https://www.instagram.com/semillacenter,,,
http://jrmatheny.com,,,https://twitter.com/jason_r_matheny,,https://www.instagram.com/jrmatheny,,,
http://madebyjosy.com,,,,,,,,403 Client Error: Forbidden for url: https://madebyjosy.myshopify.com/
http://philippineflowers.com,,,,,,https://www.youtube.com/user/embed,,
http://stpunited.org,,https://www.facebook.com/stpunited,,,https://www.instagram.com/stpaulsraymore,,,
http://thethriftyhijabi.com,,,,,,,,
http://timemusicgroupnyc.com,,,,,,,,
http://2701jamesmwood.com,2132474210,,,,,,,
http://behindthewhitebeard.com,,,,,,,,"HTTPConnectionPool(host='behindthewhitebeard.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967BD0>: Failed to resolve 'behindthewhitebeard.com' ([Errno 11001] getaddrinfo failed)""))"
http://calcoastjewelryappraisers.com,+17605046343; 7605046343,https://www.facebook.com/CalCoastJewelryAppraisers,,,https://www.instagram.com/gemologistgirl,,3001 Carlsbad Blvd Suite 12,
http://floraottimer.com,,,,,,,,403 Client Error: Forbidden for url: https://floraottimer.com/
http://infinitiofsouthatlanta.com,,,,,,,,405 Client Error: Not allowed for url: http://infinitiofsouthatlanta.com/
http://johnsoncreekrvresort.com,8303673300,https://www.facebook.com/johnsoncreekrvresortpark,,,https://www.instagram.com/explore,,,
http://liketelevision.com,,,,,,,,"HTTPConnectionPool(host='liketelevision.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967CE0>: Failed to resolve 'liketelevision.com' ([Errno 11001] getaddrinfo failed)""))"
http://talkingparents.com,,https://www.facebook.com/TalkingParents,https://twitter.com/Talkingparents,,https://www.instagram.com/talkingparentsapp,,,
http://allcleanhomes.com,,,,,,,,
http://ericamhill.com,,,,,,,,
http://hypnosishealthworks.com,3104041256,,,,,,,
http://rewildyourgarden.com,,https://www.facebook.com/kdbgardenrewilder,,,https://www.instagram.com/rewildyourgarden,,,
http://shakeprosolutions.com,,https://www.facebook.com/ShakeProSolutions,https://twitter.com/shakepros,,https://www.instagram.com/shakeprosolutions,,,
http://themarketinggroupaz.com,,,,,,,,404 Client Error: Not Found for url: https://themarketinggroupaz.com/
http://virustarllc.com,,,,,,,,"HTTPConnectionPool(host='virustarllc.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967AC0>: Failed to resolve 'virustarllc.com' ([Errno 11001] getaddrinfo failed)""))"
http://continentalfresh.com,5555555555,,,https://www.linkedin.com/company/continental-fresh-llc,,,,
http://marblepolishingmiami.net,3057312242,,,,,https://www.youtube.com/user/watch,,
http://tornadobaseball.com,,,,,,,,
http://hdnavalue.com,,https://www.facebook.com/pages,,https://www.linkedin.com/company/hollingshead-dearden-,,,,
http://mojoparker.com,,https://www.facebook.com/mojoparker,,,https://www.instagram.com/mojoparkerblues,,,
http://proofpass.com,,,,,,,,"HTTPConnectionPool(host='proofpass.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967AC0>: Failed to resolve 'proofpass.com' ([Errno 11001] getaddrinfo failed)""))"
http://rgaineswebdevelopment.com,+18169747493,,,,,,,
http://spynewsletter.com,,,,,,,,404 Client Error: Not Found for url: http://spynewsletter.com/
http://charliesproshop.com,,,,,,,11401 Starkey Road,
http://haqelyaqeen.com,,,,,,,,"HTTPConnectionPool(host='haqelyaqeen.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967DF0>: Failed to resolve 'haqelyaqeen.com' ([Errno 11001] getaddrinfo failed)""))"
http://mutterpasshuellen.eu,,,,,,,,
http://theneumannproject.com,,,,,,,,"HTTPConnectionPool(host='theneumannproject.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA9679B0>: Failed to resolve 'theneumannproject.com' ([Errno 11001] getaddrinfo failed)""))"
http://vibrantlifefarms.com,80538222; 9702225917,https://www.facebook.com/vibrantlifefarms,,,https://www.instagram.com/vibrantlifefarms; https://www.instagram.com/wix,,3315 Glade Road,
http://vipsmarthomes.com,,,,,,,,
http://jsdagency.com,,,,https://www.linkedin.com/company/jsdagency,https://www.instagram.com/jsd.agency,,,
